Gene	Activity
ALMS1	1
TUBB4B	-1
YWHAE	-1
YWHAG	-1
BAD	-1
PRKCD	1
YWHAZ	-1
CSNK2A1	1
DDIT4	1
FKBP1A	1
HSPA1B	-1
HSPA8	-1
RPS27A	0
UBA52	-1
UBB	0
UBC	0
HSPA1L	-1
HSPA2	-1
HSPA5	-1
HSPA6	-1
KIAA0319	-1
PARK7	-1
VPS37C	1
HSPA9	-1
RPS15A	1
RPS16	1
RPS6	1
IMPACT	-1
RPL27A	1
RPL38	1
RPLP2	1
RPS20	1
RPS25	1
RPS29	1
MUS81	1
PRKN	-1
PIK3CD	1
RET	-1
SRC	1
PLD1	-1
PSMA1	-1
PSMA2	-1
PSMA3	-1
PSMA4	-1
PSMA5	-1
PSMA6	-1
PSMA7	-1
PSMA8	-1
PSMB1	-1
PSMB10	-1
PSMB3	-1
PSMB7	-1
STUB1	-1
UBE2L3	-1
UBE2L6	1
SIAH1	1
SIAH2	1
TRIM36	-1
UCHL1	1
USP9X	-1
TBC1D4	1
SNCA	NA
IMP4	-1
